Sample ID,Sample Type (CV),Species (CV),Species NCBI Taxonomy ID,Parent Specimen ID,Parent Specimen Type (CV),Subject ID,Age,Sex (CV),Genotype,Modality  (CV),Technique  (CV),Anatomical Structure (CV),Subspecimen Type (CV),Total Processed Subspecimens,Organization (CV),Investigator,Grant Number (CV),Data Collection (CV),R24 Name (CV),R24 link,Metadata Submission,Comments
SM-GE66R_S126_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S127_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S128_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S129_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S130_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S131_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S132_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S133_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S134_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S135_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S136_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S137_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S138_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S139_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S140_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S141_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S142_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S143_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S144_E1-50,whole cell,mouse,ncbi:txid10090,657379626,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S145_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S146_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S147_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S148_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S149_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S150_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S151_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S152_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S154_E1-50,whole cell,mouse,ncbi:txid10090,657309891,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S155_E1-50,whole cell,mouse,ncbi:txid10090,657309891,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S156_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S157_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S158_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S159_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S160_E1-50,whole cell,mouse,ncbi:txid10090,657364242,cellgroup,360413,96 days,female,Scnn1a-Tg3-Cre/wt;ROSA26-ZtTA/wt;Ai90(TITL-Chronos)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S161_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S162_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S163_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S164_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S165_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S166_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S167_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S168_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S177_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S178_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S180_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S181_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S182_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S183_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S184_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S185_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S186_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S187_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S188_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S189_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S190_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S191_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66R_S192_E1-50,whole cell,mouse,ncbi:txid10090,657310401,cellgroup,359293,102 days,male,Grp-Cre_KH288/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,transcriptomics,transcriptomics,ALM,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S025_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S026_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S027_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S028_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S029_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S030_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S031_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S032_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S033_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S034_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S035_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S036_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S037_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S038_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S039_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S040_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S041_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S042_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
SM-GE66S_S043_E1-50,whole cell,mouse,ncbi:txid10090,657379571,cellgroup,361175,92 days,female,Pvalb-IRES-Cre/wt;Ai163(TIT2L-GC6s-ICL-tdT-tTA2)/wt,transcriptomics,transcriptomics,VISp,whole cell,1,Allen Institute for Brain Science,Zeng,1U19MH114830-01,zeng_sc_SSv4,NeMO,,2022Q2,
